Open,High,Low,Close,Adj Close,Volume
2.176603,2.207587,2.130902,2.207587,1.766739,1445922
2.114636,2.130128,2.107665,2.130128,1.704749,116190
2.125868,2.129353,2.093335,2.109988,1.688631,129100
2.091398,2.122382,2.014326,2.053056,1.643068,77460
2.099144,2.122382,2.099144,2.114636,1.69235,258200
2.091398,2.091398,2.091398,2.091398,1.673753,116190
2.099144,2.10689,2.093335,2.10689,1.686152,322750
2.130128,2.153366,2.10689,2.129741,1.704439,981161
2.157239,2.207587,2.10689,2.161112,1.729546,619680
2.168857,2.184349,2.149493,2.153366,1.723346,426030
2.130128,2.137874,2.130128,2.130128,1.704749,1510472
2.134001,2.137874,2.110763,2.119671,1.69638,296930
2.091398,2.130128,2.052669,2.099144,1.696627,258200
2.089462,2.153366,2.079779,2.129353,1.721044,684231
2.169632,2.192095,2.120445,2.122382,1.715409,180740
2.110763,2.153366,2.099144,2.140198,1.729809,271110
2.129741,2.150267,2.114636,2.150267,1.737948,116190
2.14562,2.14562,2.10689,2.118509,1.712279,77460
2.130128,2.157239,2.118509,2.135163,1.72574,542220
2.168857,2.192095,2.122382,2.134388,1.725113,413120
2.044923,2.129741,2.044923,2.095271,1.693497,413120
2.091011,2.091011,2.068161,2.068935,1.672211,64550
2.075906,2.083652,2.075906,2.081716,1.682541,77460
2.052669,2.053443,2.052669,2.052669,1.659064,116190
2.052669,2.052669,2.013939,2.034853,1.644665,426030
2.060415,2.060415,2.026333,2.029818,1.640595,116190
2.091398,2.091398,2.054605,2.061189,1.66595,361480
2.052669,2.075906,2.052669,2.075906,1.677845,77460
2.075906,2.075906,2.029431,2.029431,1.640282,167830
2.052669,2.122382,2.052669,2.092947,1.691619,271110
2.106503,2.130128,2.075906,2.120445,1.713844,593860
2.091398,2.168857,2.091398,2.132452,1.723548,361480
2.148718,2.157239,2.148718,2.154915,1.741704,51640
2.14562,2.14562,2.120445,2.126255,1.71854,206560
2.114636,2.114636,2.080167,2.087913,1.68755,180740
2.099919,2.099919,2.091398,2.091786,1.69068,154920
2.075906,2.087525,2.038726,2.077843,1.67941,193650
2.091398,2.106503,2.076294,2.086751,1.686611,335660
2.091398,2.10689,2.037564,2.068935,1.672211,529310
2.052669,2.052669,2.025558,2.037177,1.646543,103280
2.052669,2.052669,2.027494,2.029431,1.640282,167830
2.029818,2.052669,2.029431,2.052669,1.659064,103280
2.048796,2.052669,2.048796,2.052669,1.659064,25820
2.037177,2.037177,2.021685,2.029431,1.640282,103280
2.044923,2.052669,2.029431,2.029431,1.640282,38730
2.037177,2.060415,2.029431,2.044923,1.652804,116190
2.064288,2.122382,2.064288,2.09256,1.691306,90370
2.060415,2.060415,2.060415,2.060415,1.665325,12910
2.044923,2.052669,2.029431,2.029431,1.640282,180740
2.052669,2.091398,2.052669,2.075519,1.677532,167830
2.075519,2.075519,2.075519,2.075519,1.677532,0
2.052669,2.052669,2.044923,2.044923,1.652804,25820
2.013939,2.044923,2.013939,2.028269,1.639343,296930
2.013939,2.021685,2.013939,2.013939,1.627761,90370
2.013939,2.013939,2.013939,2.013939,1.627761,103280
2.030205,2.030205,2.021685,2.021685,1.634021,51640
2.014326,2.021685,2.013939,2.013939,1.627761,232380
2.029431,2.029431,2.014326,2.014326,1.628073,51640
2.013939,2.017812,2.013939,2.013939,1.627761,116190
2.013939,2.014714,2.013939,2.014326,1.628073,38730
2.017812,2.044923,2.017812,2.021685,1.634021,51640
2.025558,2.025558,2.015876,2.017037,1.630265,38730
2.017812,2.029431,2.013939,2.029431,1.640282,180740
2.015876,2.050732,2.013939,2.028269,1.639343,284020
2.014714,2.014714,2.013939,2.014326,1.628073,77460
2.015876,2.015876,2.015876,2.015876,1.629326,12910
2.052669,2.052669,2.017812,2.025558,1.637151,38730
2.013939,2.017812,2.013939,2.017812,1.630891,154920
2.013939,2.021685,2.013939,2.013939,1.627761,180740
2.006193,2.013939,2.006193,2.013939,1.627761,142010
2.013939,2.021685,1.982955,1.996511,1.613675,271110
2.006193,2.006193,1.990701,1.998447,1.61524,348570
1.998447,1.998447,1.959718,1.96514,1.588319,361480
1.975209,1.975209,1.93648,1.951972,1.577676,413120
1.975209,1.975209,1.93648,1.93648,1.565155,206560
1.975209,1.975209,1.93648,1.93648,1.565155,103280
1.93648,1.93648,1.93648,1.93648,1.565155,64550
1.93648,1.944226,1.920988,1.935318,1.564216,1174811
1.93648,1.93648,1.89775,1.89775,1.533851,1575022
1.89775,1.89775,1.76607,1.771492,1.431803,1136081
1.773815,1.781174,1.665373,1.669633,1.349476,1807402
1.657627,1.665373,1.55693,1.636325,1.322555,1071531
1.596047,1.696356,1.564676,1.656465,1.338833,516400
1.665373,1.704102,1.635938,1.676217,1.354798,477670
1.676217,1.676217,1.676217,1.676217,1.354798,0
1.665373,1.665373,1.626643,1.647944,1.331946,4621787
1.68861,1.68861,1.626643,1.639811,1.325373,1148991
1.627418,1.627418,1.595659,1.595659,1.289687,400210
1.587913,1.634389,1.587913,1.624707,1.313165,658411
1.603405,1.618897,1.603405,1.616573,1.306591,103280
1.626643,1.651817,1.618897,1.642909,1.327877,103280
1.704102,1.704102,1.628579,1.685512,1.36231,154920
1.638262,1.644071,1.638262,1.64136,1.326625,25820
1.628579,1.657627,1.628579,1.654141,1.336955,167830
1.680864,1.680864,1.642522,1.663436,1.344468,1381372
1.642135,1.657627,1.642135,1.651817,1.335076,51640
1.649881,1.649881,1.649881,1.649881,1.333512,12910
1.649881,1.649881,1.649881,1.649881,1.333512,0
1.626643,1.703715,1.619284,1.671569,1.351041,116190
1.72734,1.781561,1.723467,1.739346,1.405822,1458832
1.781174,1.781561,1.680864,1.699067,1.373266,826241
1.726953,1.738572,1.669633,1.716108,1.38704,2078513
1.742832,1.742832,1.704102,1.705264,1.378275,206560
1.665373,1.68861,1.603793,1.635938,1.322242,580950
1.635938,1.635938,1.635938,1.635938,1.322242,0
1.626256,1.634389,1.626256,1.634389,1.320991,38730
1.649881,1.657627,1.642135,1.647944,1.331946,103280
1.662274,1.662274,1.62703,1.62703,1.315042,51640
1.649881,1.649881,1.549184,1.555768,1.257445,361480
1.549184,1.595659,1.549184,1.572422,1.270906,129100
1.549184,1.572422,1.549184,1.55693,1.258384,142010
1.572422,1.572422,1.564676,1.564676,1.264645,25820
1.585977,1.642135,1.564676,1.588301,1.28374,13116580
1.588301,1.588301,1.588301,1.588301,1.28374,0
1.626643,1.649881,1.626643,1.649881,1.333512,38730
1.626643,1.642135,1.626643,1.642135,1.327251,25820
1.6127,1.638262,1.603405,1.603405,1.295948,77460
1.603405,1.611151,1.588301,1.596434,1.290313,51640
1.601469,1.601469,1.566612,1.597596,1.291253,90370
1.587913,1.587913,1.587913,1.587913,1.283426,12910
1.55112,1.580167,1.55112,1.572422,1.270906,38730
1.55693,1.55693,1.533692,1.539889,1.244611,426030
1.55693,1.55693,1.533692,1.533692,1.239602,284020
1.549184,1.603405,1.549184,1.603405,1.295948,154920
1.587913,1.595659,1.549184,1.587139,1.282801,296930
1.588688,1.634389,1.580167,1.610764,1.301896,142010
1.704102,1.704102,1.626256,1.664598,1.345407,64550
1.649881,1.649881,1.626643,1.632065,1.319112,748781
1.642522,1.642522,1.628579,1.639811,1.325373,219470
1.626643,1.626643,1.558866,1.580167,1.277166,219470
1.587913,1.626643,1.587913,1.618897,1.308469,167830
1.642135,1.665373,1.626643,1.654528,1.337268,154920
1.659563,1.659563,1.644071,1.644071,1.328816,77460
1.642135,1.642135,1.587913,1.603405,1.295948,684231
1.626643,1.665373,1.591786,1.59992,1.293131,1019891
1.630129,1.664598,1.612313,1.6127,1.30346,232380
1.642135,1.642135,1.596047,1.611151,1.302208,154920
1.626643,1.626643,1.603405,1.603405,1.295948,116190
1.611151,1.626643,1.587913,1.590624,1.285618,271110
1.626643,1.649106,1.626643,1.646008,1.330382,77460
1.642135,1.696356,1.642135,1.665373,1.346033,219470
1.696356,1.758324,1.696356,1.731213,1.399248,348570
1.818355,1.818742,1.756,1.756,1.419282,77460
1.764133,1.812545,1.752514,1.790082,1.446829,451850
1.790082,1.790082,1.790082,1.790082,1.446829,0
1.878385,1.896976,1.820291,1.84198,1.488775,271110
1.84198,1.84198,1.84198,1.84198,1.488775,0
1.84198,1.84198,1.84198,1.84198,1.488775,0
1.781561,1.843141,1.766457,1.82184,1.472497,322750
1.843529,1.843529,1.835783,1.843529,1.490027,129100
1.781561,1.828037,1.781561,1.805961,1.459663,64550
1.781561,1.804799,1.781561,1.804799,1.458724,25820
1.820291,1.820291,1.820291,1.820291,1.471245,12910
1.76607,1.76607,1.719594,1.732762,1.4005,142010
1.76607,1.780787,1.743606,1.743606,1.409265,90370
1.758324,1.758324,1.743994,1.743994,1.409578,103280
1.781561,1.781561,1.76607,1.769943,1.430552,77460
1.758324,1.773815,1.758324,1.773815,1.433681,51640
1.773815,1.773815,1.752514,1.752514,1.416465,103280
1.76026,1.874512,1.76026,1.874512,1.515069,335660
1.998447,1.998447,1.828037,1.828037,1.477506,219470
1.828037,1.828037,1.781561,1.802475,1.456845,116190
1.781561,1.843529,1.781561,1.812545,1.464985,219470
1.795117,1.797053,1.719594,1.742445,1.408327,232380
1.758324,1.789307,1.758324,1.772266,1.43243,129100
1.772266,1.772266,1.772266,1.772266,1.43243,0
